#Data tag : online , Norm tag: composite
+-------------+-------------------+------+------------------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                                  | delivered(/pb) | recorded(/pb) |
| 260593:4565 | 11/02/15 08:42:24 | 337  | HLT_Dimuon0_Jpsi_Muon_v2                 | 38.029         | 35.893        |
| 260627:4569 | 11/02/15 19:06:16 | 1749 | HLT_Dimuon0_Jpsi_Muon_v2                 | 187.160        | 179.815       |
| 254227:4201 | 08/13/15 03:37:31 | 180  | HLT_Dimuon0_Phi_Barrel_v2                | 0.242          | 0.238         |
| 254231:4201 | 08/13/15 05:14:40 | 24   | HLT_Dimuon0_Phi_Barrel_v2                | 0.033          | 0.033         |
| 254232:4201 | 08/13/15 05:43:48 | 81   | HLT_Dimuon0_Phi_Barrel_v2                | 0.110          | 0.109         |
| 254790:4243 | 08/21/15 05:24:04 | 690  | HLT_Dimuon0_Phi_Barrel_v2                | 11.689         | 11.415        |
| 254852:4249 | 08/22/15 13:49:29 | 40   | HLT_Dimuon0_Phi_Barrel_v2                | 0.799          | 0.780         |
| 254879:4254 | 08/23/15 03:34:41 | 88   | HLT_Dimuon0_Phi_Barrel_v2                | 1.896          | 1.798         |
| 254905:4256 | 08/23/15 15:00:41 | 204  | HLT_Dimuon0_Phi_Barrel_v2                | 4.509          | 4.357         |
| 254906:4256 | 08/23/15 16:23:48 | 75   | HLT_Dimuon0_Phi_Barrel_v2                | 1.598          | 1.565         |
| 254907:4256 | 08/23/15 16:55:45 | 52   | HLT_Dimuon0_Phi_Barrel_v2                | 1.091          | 1.071         |
| 256630:4376 | 09/16/15 12:20:57 | 22   | HLT_Dimuon0_Phi_Barrel_v2                | 1.093          | 1.019         |
| 256673:4381 | 09/17/15 01:46:10 | 2    | HLT_Dimuon0_Phi_Barrel_v2                | 0.100          | 0.006         |
| 256674:4381 | 09/17/15 01:47:46 | 2    | HLT_Dimuon0_Phi_Barrel_v2                | 0.099          | 0.097         |
| 256675:4381 | 09/17/15 01:50:18 | 162  | HLT_Dimuon0_Phi_Barrel_v2                | 7.947          | 7.727         |
| 256676:4381 | 09/17/15 02:55:57 | 1086 | HLT_Dimuon0_Phi_Barrel_v2                | 47.517         | 45.374        |
| 256677:4381 | 09/17/15 09:59:03 | 479  | HLT_Dimuon0_Phi_Barrel_v2                | 18.444         | 16.283        |
| 256729:4384 | 09/17/15 20:25:30 | 1728 | HLT_Dimuon0_Phi_Barrel_v2                | 72.592         | 70.149        |
| 256734:4384 | 09/18/15 08:06:26 | 213  | HLT_Dimuon0_Phi_Barrel_v2                | 7.724          | 7.533         |
| 256801:4386 | 09/18/15 16:00:07 | 191  | HLT_Dimuon0_Phi_Barrel_v2                | 9.618          | 9.289         |
| 256842:4391 | 09/19/15 06:58:19 | 2    | HLT_Dimuon0_Phi_Barrel_v2                | 0.094          | 0.018         |
| 256843:4391 | 09/19/15 07:02:10 | 1320 | HLT_Dimuon0_Phi_Barrel_v2                | 54.583         | 53.086        |
| 256866:4393 | 09/19/15 22:02:52 | 14   | HLT_Dimuon0_Phi_Barrel_v2                | 0.758          | 0.060         |
| 256867:4393 | 09/19/15 22:11:45 | 94   | HLT_Dimuon0_Phi_Barrel_v2                | 5.021          | 4.884         |
| 256868:4393 | 09/19/15 22:55:07 | 487  | HLT_Dimuon0_Phi_Barrel_v2                | 24.598         | 23.677        |
| 256869:4393 | 09/20/15 02:07:40 | 34   | HLT_Dimuon0_Phi_Barrel_v2                | 1.652          | 1.613         |
| 256926:4397 | 09/20/15 19:09:17 | 31   | HLT_Dimuon0_Phi_Barrel_v2                | 1.871          | 1.708         |
| 256936:4398 | 09/21/15 02:42:09 | 669  | HLT_Dimuon0_Phi_Barrel_v2                | 32.966         | 31.776        |
| 256941:4398 | 09/21/15 07:30:01 | 290  | HLT_Dimuon0_Phi_Barrel_v2                | 12.855         | 12.474        |
| 257394:4410 | 09/24/15 02:14:13 | 32   | HLT_Dimuon0_Phi_Barrel_v2                | 1.909          | 1.736         |
| 257395:4410 | 09/24/15 02:28:44 | 13   | HLT_Dimuon0_Phi_Barrel_v2                | 0.772          | 0.748         |
| 257396:4410 | 09/24/15 02:38:46 | 216  | HLT_Dimuon0_Phi_Barrel_v2                | 12.447         | 11.886        |
| 257397:4410 | 09/24/15 04:06:57 | 119  | HLT_Dimuon0_Phi_Barrel_v2                | 6.617          | 6.372         |
| 257399:4410 | 09/24/15 05:12:49 | 271  | HLT_Dimuon0_Phi_Barrel_v2                | 14.476         | 14.021        |
| 257400:4410 | 09/24/15 07:03:56 | 1224 | HLT_Dimuon0_Phi_Barrel_v2                | 57.024         | 54.748        |
| 257461:4418 | 09/25/15 05:51:21 | 52   | HLT_Dimuon0_Phi_Barrel_v2                | 3.427          | 3.273         |
| 257487:4420 | 09/25/15 11:49:47 | 1075 | HLT_Dimuon0_Phi_Barrel_v2                | 70.214         | 68.042        |
| 257490:4420 | 09/25/15 18:55:00 | 636  | HLT_Dimuon0_Phi_Barrel_v2                | 35.750         | 34.821        |
| 257531:4423 | 09/26/15 09:37:19 | 135  | HLT_Dimuon0_Phi_Barrel_v2                | 9.395          | 8.953         |
| 257599:4426 | 09/26/15 21:47:23 | 77   | HLT_Dimuon0_Phi_Barrel_v2                | 5.565          | 5.278         |
| 257613:4428 | 09/27/15 04:26:52 | 1294 | HLT_Dimuon0_Phi_Barrel_v2                | 82.800         | 80.351        |
| 257614:4428 | 09/27/15 12:52:08 | 16   | HLT_Dimuon0_Phi_Barrel_v2                | 0.919          | 0.899         |
| 257645:4432 | 09/27/15 23:26:52 | 1060 | HLT_Dimuon0_Phi_Barrel_v2                | 68.231         | 66.385        |
| 257682:4434 | 09/28/15 11:59:23 | 301  | HLT_Dimuon0_Phi_Barrel_v2                | 14.570         | 14.060        |
| 257722:4435 | 09/28/15 17:20:59 | 19   | HLT_Dimuon0_Phi_Barrel_v2                | 0.957          | 0.874         |
| 257723:4435 | 09/28/15 17:31:51 | 142  | HLT_Dimuon0_Phi_Barrel_v2                | 7.019          | 6.416         |
| 257735:4435 | 09/28/15 22:06:13 | 12   | HLT_Dimuon0_Phi_Barrel_v2                | 0.504          | 0.494         |
| 257751:4437 | 09/29/15 04:53:56 | 463  | HLT_Dimuon0_Phi_Barrel_v2                | 29.680         | 28.892        |
| 257804:4440 | 09/29/15 13:35:04 | 17   | HLT_Dimuon0_Phi_Barrel_v2                | 1.317          | 0.226         |
| 257805:4440 | 09/29/15 13:49:01 | 249  | HLT_Dimuon0_Phi_Barrel_v2                | 18.741         | 18.192        |
| 257816:4440 | 09/29/15 15:33:56 | 385  | HLT_Dimuon0_Phi_Barrel_v2                | 26.638         | 25.831        |
| 257819:4440 | 09/29/15 18:11:51 | 248  | HLT_Dimuon0_Phi_Barrel_v2                | 16.591         | 16.070        |
| 257822:4440 | 09/29/15 20:00:34 | 1388 | HLT_Dimuon0_Phi_Barrel_v2                | 81.451         | 79.302        |
| 257823:4440 | 09/30/15 05:05:37 | 171  | HLT_Dimuon0_Phi_Barrel_v2                | 9.030          | 8.785         |
| 257968:4444 | 09/30/15 23:42:22 | 258  | HLT_Dimuon0_Phi_Barrel_v2                | 18.565         | 17.948        |
| 257969:4444 | 10/01/15 01:24:08 | 634  | HLT_Dimuon0_Phi_Barrel_v2                | 42.819         | 41.763        |
| 258129:4448 | 10/02/15 09:56:47 | 95   | HLT_Dimuon0_Phi_Barrel_v2                | 6.427          | 6.161         |
| 258136:4448 | 10/02/15 10:38:14 | 60   | HLT_Dimuon0_Phi_Barrel_v2                | 3.982          | 3.834         |
| 258157:4449 | 10/02/15 14:07:10 | 56   | HLT_Dimuon0_Phi_Barrel_v2                | 4.247          | 4.130         |
| 258158:4449 | 10/02/15 14:33:52 | 1786 | HLT_Dimuon0_Phi_Barrel_v2                | 115.280        | 112.331       |
| 258159:4449 | 10/03/15 02:09:44 | 501  | HLT_Dimuon0_Phi_Barrel_v2                | 27.649         | 27.042        |
| 258177:4452 | 10/03/15 20:21:28 | 2120 | HLT_Dimuon0_Phi_Barrel_v2                | 126.897        | 123.717       |
| 258213:4455 | 10/04/15 17:36:36 | 154  | HLT_Dimuon0_Phi_Barrel_v2                | 11.879         | 11.567        |
| 258214:4455 | 10/04/15 18:38:59 | 217  | HLT_Dimuon0_Phi_Barrel_v2                | 16.794         | 16.374        |
| 258215:4455 | 10/04/15 20:07:49 | 6    | HLT_Dimuon0_Phi_Barrel_v2                | 0.455          | 0.444         |
| 258287:4462 | 10/05/15 15:44:45 | 180  | HLT_Dimuon0_Phi_Barrel_v2                | 14.851         | 14.271        |
| 258403:4466 | 10/06/15 14:13:13 | 242  | HLT_Dimuon0_Phi_Barrel_v2                | 16.304         | 15.942        |
| 258425:4467 | 10/06/15 18:50:09 | 134  | HLT_Dimuon0_Phi_Barrel_v2                | 11.442         | 10.949        |
| 258426:4467 | 10/06/15 20:00:12 | 10   | HLT_Dimuon0_Phi_Barrel_v2                | 0.831          | 0.809         |
| 258427:4467 | 10/06/15 20:06:18 | 107  | HLT_Dimuon0_Phi_Barrel_v2                | 8.809          | 8.498         |
| 258428:4467 | 10/06/15 20:54:17 | 324  | HLT_Dimuon0_Phi_Barrel_v2                | 25.652         | 25.004        |
| 258432:4467 | 10/06/15 23:04:32 | 4    | HLT_Dimuon0_Phi_Barrel_v2                | 0.306          | 0.299         |
| 258434:4467 | 10/06/15 23:11:39 | 453  | HLT_Dimuon0_Phi_Barrel_v2                | 33.448         | 32.645        |
| 258440:4467 | 10/07/15 02:10:32 | 731  | HLT_Dimuon0_Phi_Barrel_v2                | 48.914         | 47.655        |
